RAZAO SOCIAL	CNPJ	LINHA	Janeiro	Fevereiro	Marco	Abril	Total	Media
UNIFABRIL RESINAS LTDA - ME	'71623771000183'	'18 L'	630	0	0	0	630	158
UNIFABRIL RESINAS LTDA - ME	'71623771000183'	'BALDE'	0	683	0	0	683	171
GENERAL EMBALAGENS INDUSTRIAIAS - EIRELI	'58756560000150'	'5 L'	504	0	0	0	504	126
VALENTINI E CIA LTDA.	'88611009000180'	'5 L'	1704	0	1152	0	2856	714
VALENTINI E CIA LTDA.	'88611009000180'	'18 L'	831	0	831	0	1662	416
DORATIOTTO E CARVALHO IND E COM DE TINTAS EIRELI E	'19234299000177'	'18 L'	2021	3989	2060	0	8070	2018
MECANICA ROBERDONI FAB DE MAQ DE VELAS DE PARAFINA	'49306905000183'	'BALDE'	0	0	100	0	100	25
AMBRA ACABAMENTOS LTDA	'02986167000441'	'5 L'	3000	0	0	0	3000	750
AMBRA ACABAMENTOS LTDA	'02986167000441'	'18 L'	0	1242	1442	0	2684	671
TECHNOCOLOR EIRELI - ME	'18863765000110'	'18 L'	3502	4676	2999	0	11177	2794
MG COM E DISTR DE TINTAS E MAT DE CONSTR EIRELI EP	'18966462000123'	'25KG(14L)'	0	234	0	0	234	59
JN COM E IND DE PRODS AUTOMOTIVOS LTDA	'07041091000152'	'5 L'	2304	0	0	0	2304	576
FCC INDUSTRIA E COMERCIO LTDA. (BAHIA)	'03281950000120'	'18 L'	0	2940	0	0	2940	735
MANKIEWICZ DO BRASIL E CIA	'04113141000333'	'BALDE'	30	0	0	0	30	8
DEVAMAD DO BRASIL PARTICIPACOES LTDA	'14069418000160'	'5 L'	1735	0	0	0	1735	434
TOTAL TINTAS - EIRELLI - EPP	'15708533000108'	'18 L'	0	828	1242	0	2070	518
INDUSTRIA E COMERCIO DE TINTAS IVAIPORA LTDA.	'12565178000169'	'18 L'	0	1035	0	0	1035	259
RENNER SAYERLACK S/A	'61142865000691'	'18 L'	2100	7518	0	0	9618	2405
QUALITA INDUSTRIA E COMERCIO DE PRODUTOS PARA VEDA	'08939862000196'	'18 L'	150	0	0	0	150	38
ADRIANO BATISTA DE OLIVEIRA EIRELE ME	'19375439000127'	'18 L'	1901	1625	0	0	3526	882
INKOR INDUSTRIA CATARINENSE DE COLAS E REJUNTES LT	'06101244000147'	'18 L'	1035	0	0	0	1035	259
IDEAL PRODUTOS QUIMICOS LTDA.	'00961142000115'	'18 L'	2940	5820	0	0	8760	2190
HENAMAR INDUSTRIA E COMERCIO DE TINTAS LTDA.	'03696074000364'	'18 L'	15939	10072	10266	0	36277	9069
HENAMAR INDUSTRIA E COMERCIO DE TINTAS LTDA.	'03696074000364'	'25KG(14L)'	0	2190	1872	0	4062	1016
MANFORTH IND E COM LTDA.	'04720312000120'	'25KG(14L)'	0	3276	0	0	3276	819
RILAR INDUSTRIA E COMERCIO LTDA. - EPP	'08842892000180'	'18 L'	0	3312	0	0	3312	828
R.DE.F. PIRES DE MORAES TINTAS - EPP	'74631466000121'	'18 L'	0	0	1212	0	1212	303
SANITEX TECNOLOGIA EM PRODUTOS E SERV LTDA.	'00849796000151'	'18 L'	1484	0	1242	0	2726	682
GEKAR TINTAS LTDA. (FILIAL)	'02267554000266'	'18 L'	1887	1449	0	0	3336	834
SUL AMERICANA INDUSTRIA E COMERCIO DE TINTAS LTDA.	'07789731000298'	'18 L'	16655	8830	5796	0	31281	7820
SUL AMERICANA INDUSTRIA E COMERCIO DE TINTAS LTDA.	'07789731000298'	'25KG(14L)'	0	3276	3276	0	6552	1638
OLDFLEX COMERCIO E DISTRIBUICAO LTDA.	'03862847000173'	'5 L'	11624	0	0	0	11624	2906
EGC INDUSTRIA COMERCIO E REPRESENTACOES LTDA	'00200184000133'	'18 L'	0	210	0	0	210	53
ALQUIMIA INDUSTRIA E COMERCIO LTDA.	'88250139000134'	'18 L'	1035	0	0	0	1035	259
ALQUIMIA INDUSTRIA E COMERCIO LTDA.	'88250139000134'	'25KG(14L)'	2106	0	0	0	2106	527
GALLE IND E COM. DE TINTAS E SOLVENTES LTDA - ME	'10354613000180'	'5 L'	4132	2534	0	0	6666	1667
GALLE IND E COM. DE TINTAS E SOLVENTES LTDA - ME	'10354613000180'	'18 L'	0	210	0	0	210	53
INDUSTRIA E COMERCIO DE TINTAS VERANO EIRELI	'20429279000130'	'18 L'	3312	10857	0	0	14169	3542
MILLENIUM PINTURA INDUSTRIAL LTDA - EPP	'05645770000105'	'BALDE'	0	140	0	0	140	35
PREMIUM ARTEFATOS DE BORRACHA EIRELI	'02994495000147'	'BALDE'	0	100	0	0	100	25
SELOFLEX IND. E COM. DE IMPERMEABILIZANTES LTDA - 	'07743714000139'	'18 L'	1317	0	0	0	1317	329
MEGA INDUSTRIA E COMERCIO DE TINTAS LTDA. ME	'16734229000190'	'5 L'	3005	0	0	0	3005	751
MEGA INDUSTRIA E COMERCIO DE TINTAS LTDA. ME	'16734229000190'	'18 L'	1569	7319	4310	0	13198	3300
MEGA INDUSTRIA E COMERCIO DE TINTAS LTDA. ME	'16734229000190'	'25KG(14L)'	1155	4268	0	0	5423	1356
REGIONAL COM.DE TINTAS E MATERIAIS PARA CONSTRUCAO	'20767886000100'	'5 L'	120	0	0	0	120	30
REGIONAL COM.DE TINTAS E MATERIAIS PARA CONSTRUCAO	'20767886000100'	'18 L'	280	0	0	0	280	70
REGIONAL COM.DE TINTAS E MATERIAIS PARA CONSTRUCAO	'20767886000100'	'BALDE'	586	0	0	0	586	147
INDUTIL INDUSTRIA DE TINTAS LTDA.	'61409355000557'	'BALDE'	0	1508	0	0	1508	377
FATIBRAS INDUSTRIA E COMERCIO DE TINTAS LTDA. - ME	'20430016000141'	'18 L'	926	1404	0	0	2330	583
FATIBRAS INDUSTRIA E COMERCIO DE TINTAS LTDA. - ME	'20430016000141'	'25KG(14L)'	1052	0	0	0	1052	263
L.G.B. EIRAS EIRELI	'13296533000104'	'BALDE'	0	1183	0	0	1183	296
MULTIPERFIL GRASSER INDUSTRIA E COMERCIO DE PERFIL	'03105750000116'	'18 L'	0	0	1161	0	1161	290
USO COMERCIO DE MATERIAIS PARA CONSTRUCAO LTDA. - 	'20431725000141'	'18 L'	0	0	1311	0	1311	328
PARANAIBA COMERCIO DE TINTAS LTDA - ME	'71911366000160'	'18 L'	0	2898	0	0	2898	725
ENGESERV-POX PINTURAS E REVESTIMENTOS IND. LTDA - 	'01032336000107'	'18 L'	0	100	0	0	100	25
ARARA CORES COM.DE TINTAS LTDA	'14757659000100'	'25KG(14L)'	0	0	2358	0	2358	590
LEANDRO MOURA DE CAMARGO	'21655577000101'	'18 L'	0	840	0	0	840	210
RENOV RUBBER COMERCIAL LTDA ME	'11275115000105'	'BALDE'	0	140	0	0	140	35
EUROAMERICAN DO BRASIL IMPORTACAO IND. E COM. LTDA	'01245930000500'	'18 L'	0	0	1701	0	1701	425
