RAZAO SOCIAL	CNPJ	LINHA	Janeiro	Fevereiro	Marco	Abril	Total	Media
GRATEX IND E COM DE TINTAS LTDA -EPP	'13550683000100'	'18 L'	0	1215	0	0	1215	304
GRATEX IND E COM DE TINTAS LTDA -EPP	'13550683000100'	'25KG(14L)'	0	1259	0	0	1259	315
VITORIA TINTAS LTDA. ME	'15050421000102'	'BALDE'	865	0	0	0	865	216
J VENGUE TINTAS ME	'15014056000172'	'5 L'	0	2116	0	0	2116	529
RIO DIMMY TINTAS E COMPONENTES LTDA	'07863408000136'	'5 L'	0	576	0	0	576	144
RIO DIMMY TINTAS E COMPONENTES LTDA	'07863408000136'	'18 L'	0	1242	0	0	1242	311
RECOR IND. COM. IMP. EXP DE PROD P/IMPRESSOES LTDA	'14454311000135'	'5 L'	0	4324	0	0	4324	1081
ALV - INDUSTRIA E COMERCIO DE TINTAS LTDA	'05097254000193'	'18 L'	0	1890	0	0	1890	473
CRIATIVA TRANSP RODOV DE PRODUTOS PERIGOSOS LTDA	'10643537000123'	'5 L'	1728	1206	0	0	2934	734
CRIATIVA TRANSP RODOV DE PRODUTOS PERIGOSOS LTDA	'10643537000123'	'18 L'	620	210	0	0	830	208
E L FRANCO E CIA LTDA	'00898402000406'	'18 L'	0	948	0	0	948	237
CORFLEX IND. E COM. DE ARGAMASSA E TINTA LTDA	'10297645000191'	'18 L'	840	1180	0	0	2020	505
CORFLEX IND. E COM. DE ARGAMASSA E TINTA LTDA	'10297645000191'	'25KG(14L)'	388	0	0	0	388	97
JV COMERCIO E BENEFICIAMENTO DE REJUNTE LTDA - ME	'12182030000145'	'25KG(14L)'	3150	0	1185	0	4335	1084
ATMA TINTAS E REVESTIMENTOS LTDA.	'15623033000165'	'18 L'	0	0	2898	0	2898	725
CD-MAX INDUSTRIA E COMERCIO DE TINTAS LTDA	'00777674000105'	'5 L'	1152	1327	2625	0	5104	1276
CD-MAX INDUSTRIA E COMERCIO DE TINTAS LTDA	'00777674000105'	'18 L'	4506	6175	0	0	10681	2670
CD-MAX INDUSTRIA E COMERCIO DE TINTAS LTDA	'00777674000105'	'25KG(14L)'	0	0	1367	0	1367	342
BIG SIGN DO BRASIL LTDA - EPP	'04763230000163'	'18 L'	0	0	100	0	100	25
BELLA ALIANCA IND DE TINTAS E VERNIZES LTDA EPP	'17144480000167'	'18 L'	5460	5880	2883	0	14223	3556
SILKI TINTAS INDUSTRIA E COMERCIO LTDA - ME	'16875092000193'	'18 L'	207	0	0	0	207	52
IPE INDUSTRIA E COMERCIO DE TINTAS LTDA	'10239285000171'	'18 L'	1010	4959	0	0	5969	1492
TEXCRYL IND E COM DE PROD QUIMICOS LTDA - ME	'13234078000112'	'18 L'	1449	0	0	0	1449	362
TINTAS RESIDENCE LTDA - ME	'09023294000141'	'25KG(14L)'	0	0	702	0	702	176
OSWALDO DIAS DE MORAES	'14758442000106'	'25KG(14L)'	0	0	1378	0	1378	345
FORTY DUBAI IND. E COM. DE TINTAS E VERNIZES LTDA.	'11243356000172'	'18 L'	0	3008	0	0	3008	752
COLLORBRIL INDUSTRIA E COMERCIO DE TINTAS LTDA	'18286754000115'	'18 L'	0	1656	0	0	1656	414
WORLD TINTAS E TEXTURIZADOS LTDA - ME	'13558591000169'	'18 L'	4059	2413	0	0	6472	1618
WORLD TINTAS E TEXTURIZADOS LTDA - ME	'13558591000169'	'25KG(14L)'	182	0	0	0	182	46
O GLADIADOR IND E COM DE TINTAS E SOLVENTES LTDA M	'10353236000165'	'5 L'	0	0	3000	0	3000	750
O GLADIADOR IND E COM DE TINTAS E SOLVENTES LTDA M	'10353236000165'	'18 L'	1449	0	0	0	1449	362
O GLADIADOR IND E COM DE TINTAS E SOLVENTES LTDA M	'10353236000165'	'25KG(14L)'	1638	0	0	0	1638	410
MARQUES QUIMICA NEVENSE LTDA - ME	'14953205000104'	'18 L'	1506	0	0	0	1506	377
MARQUES QUIMICA NEVENSE LTDA - ME	'14953205000104'	'BALDE'	840	0	0	0	840	210
SUPPERTOP INDUSTRIA E COMERCIO LTDA - ME	'13807861000128'	'18 L'	0	0	1404	0	1404	351
SIEGWERK BRASIL INDUSTRIA DE TINTAS LTDA	'07495017000963'	'18 L'	210	210	0	0	420	105
GPS LIGRAM COM DE TINTAS E REVESTIMENTOS LTDA ME	'67369876000180'	'18 L'	0	0	1212	0	1212	303
NALALU IND E COM DE TINTAS E VERNIZES LTDA	'07304798000104'	'18 L'	1035	0	0	0	1035	259
NORTH VINIL IND E COM DE TINTAS LTDA EPP	'18541882000168'	'18 L'	0	880	937	0	1817	454
SORAIA SAID DE CARVALHO - ME	'17114926000100'	'18 L'	1116	0	0	0	1116	279
ARCO IRIS DISTR DE TINTAS E VERNIZES LTDA EPP	'022132680001,37'	'25KG(14L)'	0	0	1607	0	1607	402
GM COMERCIO DE TINTAS LTDA - EPP	'15061063000125'	'18 L'	207	0	207	0	414	104
GM COMERCIO DE TINTAS LTDA - EPP	'15061063000125'	'25KG(14L)'	234	234	1170	0	1638	410
RESINFIBER IND E COM DE PRODUTOS QUIMICOS LTDA	'44195709000165'	'18 L'	420	0	0	0	420	105
LAV QUIMICA EIRELI - EPP	'00729068000106'	'5 L'	100	0	104	0	204	51
RAUL INDUSTRIA E COMERCIO LTDA - ME	'66528134000198'	'18 L'	3362	0	1500	0	4862	1216
AMX REVESTIMENTOS  EIRELI - ME	'17710087000193'	'18 L'	2501	0	1394	0	3895	974
AMX REVESTIMENTOS  EIRELI - ME	'17710087000193'	'25KG(14L)'	328	0	0	0	328	82
UNIFABRIL RESINAS LTDA - ME	'71623771000183'	'5 L'	1152	1033	2304	0	4489	1122
